"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg","Rdate","Season"
"COHEN-Iddo","URBANA UNIV.","home","12/15/10","no",5,0,1,0,0,0,0,0,0,0,1,1,2,2,3,0,1,0,0,0,0,1.9,2010-12-15,"2010-2011"
"DUPITON-Olivier","URBANA UNIV.","home","12/15/10","yes",21,2,4,0.5,0,0,0,2,2,1,0,4,4,2.4,3,0,1,5,0,1,6,6.6,2010-12-15,"2010-2011"
"DURISKO-Matt","URBANA UNIV.","home","12/15/10","no",1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,1,2010-12-15,"2010-2011"
"ELLINGTON-Keith","URBANA UNIV.","home","12/15/10","no",2,1,2,0.5,0,0,0,1,2,0.5,0,0,0,0.3,0,0,0,1,0,0,3,1,2010-12-15,"2010-2011"
"JACKSON-Shelton","URBANA UNIV.","home","12/15/10","yes",28,6,10,0.6,0,2,0,1,6,0.167,4,3,7,4.8,1,0,5,2,1,2,13,9.9,2010-12-15,"2010-2011"
"LEAO-Luis","URBANA UNIV.","home","12/15/10","yes",32,6,10,0.6,1,1,1,4,7,0.571,2,8,10,9.5,1,0,1,1,1,3,17,16.9,2010-12-15,"2010-2011"
"McLAIN-Pat","URBANA UNIV.","home","12/15/10","no",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2010-12-15,"2010-2011"
"OUEGNIN-Jonathan","URBANA UNIV.","home","12/15/10","no",12,1,1,1,0,0,0,0,2,0,0,0,0,1.5,4,0,2,0,0,1,2,2.1,2010-12-15,"2010-2011"
"PENN-Joe","URBANA UNIV.","home","12/15/10","no",2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,1,1,0,0,0,1.4,2010-12-15,"2010-2011"
"RATNER-Heiden","URBANA UNIV.","home","12/15/10","yes",33,10,18,0.556,4,8,0.5,2,2,1,1,3,4,3.3,2,0,2,0,0,0,26,21.9,2010-12-15,"2010-2011"
